case_id,n_ref,dice,size_group
r001s003,1279,0.8006655574043261,MEDIUM
r001s011,10749,0.8684083847534024,LARGE
r001s016,4148,0.6787896854970935,LARGE
r001s018,230,0.8163992869875223,SMALL
r001s020,62748,0.828359847209823,LARGE
r001s021,1787,0.5820203892493049,MEDIUM
r001s025,2955,0.8771741079433387,MEDIUM
r001s026,2515,0.7513051732320836,MEDIUM
r001s030,5449,0.17727424191936023,LARGE
r001s031,30888,0.8280936454849498,LARGE
r002s009,38926,0.8727896285846326,LARGE
r002s012,24575,0.8701794410564647,LARGE
r003s002,4396,0.4849521203830369,LARGE
r003s005,162015,0.9505533267731436,LARGE
r003s006,795,0.8898055391868003,MEDIUM
r003s007,2794,0.8078892471079082,MEDIUM
r003s011,9412,0.7871160675347331,LARGE
r003s015,6023,0.5681125439624853,LARGE
r004s002,42202,0.8527455579474986,LARGE
r004s005,2993,0.4945291634358577,MEDIUM
r004s007,6660,0.7788492446158791,LARGE
r004s008,1620,0.783791134076693,MEDIUM
r004s011,45472,0.8713019132057863,LARGE
r004s017,25773,0.8352821643217552,LARGE
r004s022,48594,0.940096063800864,LARGE
r004s027,78965,0.910635586470557,LARGE
r004s032,75113,0.9366263578602173,LARGE
r004s033,283751,0.9299976038126004,LARGE
r004s036,6378,0.6430190166518869,LARGE
r005s045,274,0.7539936102236422,SMALL
r005s056,2387,0.775608084960603,MEDIUM
r005s069,5421,0.7873820168902136,LARGE
r005s073,398,0.8951219512195122,SMALL
r005s074,207275,0.9178871933579181,LARGE
r005s077,879,0.6218289085545723,MEDIUM
r005s082,654,0.40421631530705776,MEDIUM
r005s084,1056,0.7187615186140803,MEDIUM
r008s006,129,0.0,SMALL
r009s003,12617,0.6263795788475861,LARGE
r009s005,799,0.7692307692307693,MEDIUM
r009s007,67499,0.6745479974055456,LARGE
r009s008,4321,0.08311575282854657,LARGE
r009s016,65,0.0,SMALL
r009s022,52390,0.7574043387996876,LARGE
r009s031,101,0.006781750924784217,SMALL
r009s045,626,0.9083601286173634,MEDIUM
r009s046,1391,0.02553191489361702,MEDIUM
r009s049,25360,0.08728030980041704,LARGE
r009s052,14946,0.691055432948202,LARGE
r009s057,74,0.8527131782945736,SMALL
r009s061,398,0.4623955431754875,SMALL
r009s066,1159,0.0,MEDIUM
r009s067,17073,0.57363304542662,LARGE
r009s071,2517,0.33167330677290835,MEDIUM
r009s078,1509,0.47751937984496123,MEDIUM
r009s084,65,0.01713683100448194,SMALL
r009s085,24058,0.7283048872945136,LARGE
r009s086,1030,0.6589434661723819,MEDIUM
r009s092,1262,0.6826401446654611,MEDIUM
r009s094,2195,0.30440809537011365,MEDIUM
r009s105,6979,0.7775454603053918,LARGE
r009s106,117,0.0,SMALL
r009s119,1531,0.7971660981369719,MEDIUM
r009s122,58,0.0,SMALL
r010s003,5897,0.7302701552861094,LARGE
r010s005,6579,0.5132624510352546,LARGE
r010s007,3727,0.7874778118444409,LARGE
r010s023,121,0.6507462686567164,SMALL
r010s028,10309,0.6976193443848935,LARGE
r010s029,117,0.7583892617449665,SMALL
r010s032,301,0.7590551181102362,SMALL
r011s001,1392,0.6129774505292223,MEDIUM
r011s016,688,0.6596491228070176,MEDIUM
r011s020,1956,0.8230088495575221,MEDIUM
r011s022,404,0.7185761957730812,SMALL
r011s024,2401,0.431640625,MEDIUM
r011s030,3749,0.44979423868312757,LARGE
r011s033,66,0.8235294117647058,SMALL
r014s002,85,0.0,SMALL
r014s008,142,0.09243697478991597,SMALL
r015s007,245276,0.7834164413465763,LARGE
r015s014,5748,0.6838029683802969,LARGE
r015s018,5727,0.8491452188615443,LARGE
r015s019,1388,0.7622317596566524,MEDIUM
r017s103,17926,0.8566393697522546,LARGE
r017s117,394,0.8984771573604061,SMALL
r017s121,56725,0.7743089264728424,LARGE
r018s001,19758,0.9043936391319058,LARGE
r018s002,82999,0.8761074055070976,LARGE
r018s008,37026,0.8411191466785805,LARGE
r018s012,41404,0.8397299947549657,LARGE
r019s011,15105,0.7747861894203357,LARGE
r023s003,443779,0.8162233973273594,LARGE
r023s004,18404,0.5274411974340698,LARGE
r023s005,788100,0.8736925732337413,LARGE
r023s007,13872,0.7783783783783784,LARGE
r023s008,835278,0.9491922724275704,LARGE
r023s014,12774,0.8273207866356523,LARGE
r023s015,20048,0.33506985555292446,LARGE
r024s009,31672,0.872581969117351,LARGE
r024s011,3882,0.768170954590187,LARGE
r024s012,375,0.4677685950413223,SMALL
r024s016,50566,0.7946418341093507,LARGE
r024s017,9749,0.665439195257769,LARGE
r024s018,15070,0.8534111435320272,LARGE
r024s020,864,0.5859872611464968,MEDIUM
r024s021,665,0.47768027470431135,MEDIUM
r027s009,23990,0.8898558937823834,LARGE
r027s017,5238,0.8999636891793754,LARGE
r027s028,8113,0.8308275591580598,LARGE
r027s054,153,0.6239669421487604,SMALL
r027s058,2012,0.8635655464055197,MEDIUM
r028s007,3612,0.8533663775299463,LARGE
r028s008,58544,0.9060493271708454,LARGE
r028s013,10065,0.77759891552995,LARGE
r028s016,42052,0.7235811916662981,LARGE
r028s021,180160,0.9260517637653642,LARGE
r029s005,2833,0.0,MEDIUM
r029s006,111544,0.9099291047590315,LARGE
r029s007,36571,0.8168933815258634,LARGE
r029s008,3101,0.8026504297994269,LARGE
r030s003,442,0.7949044585987262,SMALL
r030s014,98211,0.9029828511700376,LARGE
r030s017,83489,0.9311401425178147,LARGE
r031s005,2016,0.25925925925925924,MEDIUM
r031s007,65806,0.5753097932320714,LARGE
r031s010,2208,0.5841346153846154,MEDIUM
r031s015,5168,0.6718355257426605,LARGE
r031s017,600,0.7479935794542536,MEDIUM
r031s020,6734,0.8918359524722116,LARGE
r031s022,164929,0.9357007361973982,LARGE
r031s034,105753,0.922976378545099,LARGE
r031s035,47444,0.8533912142277496,LARGE
r032s005,35592,0.8489954793491248,LARGE
r032s007,2690,0.6091954022988506,MEDIUM
r032s019,30052,0.6533260513380666,LARGE
r032s028,3716,0.11755102040816326,LARGE
r032s039,1355,0.16947000952078706,MEDIUM
r032s057,1313,0.0,MEDIUM
r034s006,3128,0.8313699091215079,LARGE
r034s008,1411,0.7744576340564879,MEDIUM
r034s015,5333,0.39022195560887823,LARGE
r034s032,244,0.7264770240700219,SMALL
r034s040,1612,0.8030605455755156,MEDIUM
r035s006,75587,0.9059339845022646,LARGE
r035s011,5705,0.752926508277343,LARGE
r035s015,389017,0.7600399754912167,LARGE
r038s001,1508,0.503698224852071,MEDIUM
r038s008,25843,0.6229084211763783,LARGE
r038s016,4241,0.8213813178089442,LARGE
r038s019,59714,0.7114391288580474,LARGE
r038s023,1415,0.6832151300236406,MEDIUM
r038s033,5739,0.7809160305343511,LARGE
r038s036,11559,0.6815654758628282,LARGE
r038s037,2362,0.7855585170826266,MEDIUM
r038s046,12795,0.6925005698655118,LARGE
r038s048,40397,0.7519785378940308,LARGE
r038s051,46905,0.5415928121752949,LARGE
r038s053,143656,0.8231849877647284,LARGE
r038s061,136610,0.542261146388034,LARGE
r038s066,17301,0.8717112415742553,LARGE
r038s075,6064,0.29816955684007707,LARGE
r038s077,80532,0.8086365013975103,LARGE
r038s097,1974,0.21412505623031938,MEDIUM
r039s001,555,0.8223552894211577,MEDIUM
r040s001,1083,0.6426484907497566,MEDIUM
r040s002,838,0.854389721627409,MEDIUM
r040s009,5239,0.6297279970693287,LARGE
r040s011,9216,0.8574314088537284,LARGE
r040s015,112257,0.8680479644903772,LARGE
r040s022,1349,0.8880866425992779,MEDIUM
r040s028,135543,0.8573090249133807,LARGE
r040s030,236766,0.8861511655180887,LARGE
r040s033,43848,0.8505101248122637,LARGE
r040s046,310,0.7912087912087912,SMALL
r040s058,238,0.4097287184284378,SMALL
r040s068,166648,0.8542136226781062,LARGE
r040s069,53868,0.8691621898551141,LARGE
r040s076,132079,0.9242573422403885,LARGE
r040s078,4700,0.848381601362862,LARGE
r041s073,498,0.6541353383458647,SMALL
r042s003,1247,0.7078325735598839,MEDIUM
r042s006,46024,0.799018058965073,LARGE
r042s008,118441,0.9160039761431411,LARGE
r042s010,11311,0.7557181261293023,LARGE
r042s014,352,0.7020280811232449,SMALL
r042s030,4315,0.6993292505103529,LARGE
r042s034,1377,0.36932320197914825,MEDIUM
r046s003,11280,0.8998213429779075,LARGE
r046s005,283799,0.8863556162942147,LARGE
r046s006,1903,0.7291877658497063,MEDIUM
r046s007,2437,0.8757763975155279,MEDIUM
r047s006,712,0.8424908424908425,MEDIUM
r047s009,1031,0.3065764023210832,MEDIUM
r047s017,6014,0.689783985707325,LARGE
r047s018,55118,0.8670388731433122,LARGE
r047s025,7396,0.7267953929539296,LARGE
r047s028,3275,0.5154410131081982,LARGE
r047s040,709,0.8404858299595142,MEDIUM
r047s048,1314,0.4196859903381642,MEDIUM
r048s003,40622,0.9041086007671312,LARGE
r048s011,746,0.0,MEDIUM
r048s014,764,0.9045020463847203,MEDIUM
r048s020,715,0.7688751926040062,MEDIUM
r048s021,34681,0.7865138033592082,LARGE
r048s028,92374,0.8907731763016755,LARGE
r048s029,348,0.7716763005780347,SMALL
r048s030,141,0.0,SMALL
r048s035,5392,0.7118985883030827,LARGE
r048s039,1265,0.7666666666666667,MEDIUM
r049s004,68,0.3987138263665595,SMALL
r049s007,515,0.7714604236343366,MEDIUM
r049s013,8653,0.887550665894615,LARGE
r049s016,363,0.4026258205689278,SMALL
r049s018,51,0.0,SMALL
r049s023,9012,0.8947731188971855,LARGE
r049s025,109,0.0,SMALL
r049s026,220,0.20202020202020202,SMALL
r050s003,32,0.0,SMALL
r050s008,122,0.0,SMALL
r050s014,117,0.5443786982248521,SMALL
r052s002,1335,0.8609996351696461,MEDIUM
r052s007,895,0.7201674808094906,MEDIUM
r052s008,114497,0.8961898123183355,LARGE
r052s014,37726,0.9023942997851941,LARGE
r052s026,84629,0.8279911690754104,LARGE
r053s042,15,0.4,SMALL
r053s053,2608,0.6179673321234119,MEDIUM
r056s003,870,0.7921686746987951,MEDIUM
r056s008,33759,0.856616362192216,LARGE
r056s017,1361,0.0,MEDIUM
r057s040,97811,0.9346638803920975,LARGE
r057s043,42298,0.9369774844629969,LARGE
r057s046,151197,0.9348065097608059,LARGE
r057s048,679,0.3432682425488181,MEDIUM
r058s051,379,0.44200626959247646,SMALL
r058s054,54701,0.7630077108197043,LARGE
r058s059,11859,0.6019908235477098,LARGE
r059s014,6139,0.81552,LARGE
r059s015,127450,0.891833273201541,LARGE
r059s017,1881,0.5825944170771757,MEDIUM
r059s018,30572,0.5898197930456867,LARGE
r059s036,7543,0.36073485056210586,LARGE
r059s041,3799,0.5,LARGE
r061s005,21461,0.8212165061623672,LARGE
r061s007,9171,0.9132720864390131,LARGE
r062s013,130,0.03737373737373737,SMALL
r064s003,20013,0.7542751679787756,LARGE
r067s020,9297,0.0,LARGE
r067s021,7118,0.0,LARGE
r067s034,8361,0.7828409280587548,LARGE
r069s002,16967,0.5369516846789574,LARGE
r069s006,973,0.08309726156751653,MEDIUM
r069s007,3114,0.5473359753412593,LARGE
r069s030,9833,0.6245931890622379,LARGE
r069s031,4387,0.6092317420170724,LARGE
r069s034,1229,0.4997491219267436,MEDIUM
r069s037,6458,0.47067987092466895,LARGE
r069s040,5108,0.6389217739732265,LARGE
r069s043,67749,0.9056769840105618,LARGE
r070s006,19513,0.6945995423340962,LARGE
r071s001,1386,0.6362934362934363,MEDIUM
r071s028,5082,0.861155622584598,LARGE
r071s031,1375,0.8517985611510791,MEDIUM
r071s032,2164,0.7795111804472179,MEDIUM
soop0164,32435,0.547826452888945,LARGE
soop0168,20999,0.6977737114974077,LARGE
soop0251,153284,0.9107127749934858,LARGE
soop0356,139050,0.7929594634547391,LARGE
soop0371,21381,0.9410414179447149,LARGE
soop0375,242078,0.9148534570186161,LARGE
soop0556,71350,0.9501696129453656,LARGE
soop0769,5020,0.8434846419960164,LARGE
soop0783,70759,0.8958010177701581,LARGE
soop0894,55103,0.9573237054979206,LARGE
soop0910,0,0.0,EMPTY
soop0968,86026,0.887061276497162,LARGE
soop1012,1193,0.368390470656595,MEDIUM
soop1129,292619,0.8738602356389273,LARGE
soop1133,70,0.6619718309859155,SMALL
soop1157,194659,0.6937153454572981,LARGE
soop1166,85742,0.9453361985382919,LARGE
soop1266,367260,0.16465238840568225,LARGE
soop1344,971,0.8980373384394447,MEDIUM
soop1412,93915,0.8310602727672679,LARGE
soop1429,81613,0.6974120040132492,LARGE
soop1458,73865,0.7487910704822469,LARGE
soop1488,1645353,0.5322928634837144,LARGE
soop1532,5078,0.9192352711666016,LARGE
soop1590,3246195,0.9644514142728129,LARGE
soop1737,98433,0.5197311200857611,LARGE
r001s001,89056,0.8077871238680425,LARGE
r001s004,32931,0.8443224228904809,LARGE
r001s005,25816,0.8577947705969413,LARGE
r001s007,3194,0.6999873465772491,LARGE
r001s008,1686,0.16720955483170466,MEDIUM
r001s009,6111,0.6016701163371636,LARGE
r001s010,79902,0.8470647371005073,LARGE
r001s015,4796,0.8347639484978541,LARGE
r001s023,12,0.13636363636363635,SMALL
r001s027,966,0.8397115917914587,MEDIUM
r001s034,1947,0.7950840230749937,MEDIUM
r002s002,22301,0.9015783701301797,LARGE
r002s003,2830,0.6929843381248659,MEDIUM
r003s004,99446,0.9090587535438093,LARGE
r003s008,100640,0.9066499408691988,LARGE
r003s009,30391,0.9109370966354015,LARGE
r003s013,5249,0.8425470099265596,LARGE
r004s003,37139,0.31754105189310067,LARGE
r004s024,40006,0.8671464892419394,LARGE
r004s025,16058,0.34850571380251744,LARGE
r005s016,1064,0.8057026476578412,MEDIUM
r005s026,50,0.4945054945054945,SMALL
r005s049,12469,0.8175561411098439,LARGE
r005s076,808,0.37005988023952097,MEDIUM
r005s079,47381,0.8953630445668502,LARGE
r005s080,1287,0.7745058491327148,MEDIUM
r005s081,11133,0.8563151329819337,LARGE
r005s085,3584,0.6563765736179529,LARGE
r009s002,329,0.8822605965463108,SMALL
r009s004,75692,0.8511000967117989,LARGE
r009s017,1061,0.5225102319236017,MEDIUM
r009s018,335,0.8051529790660226,SMALL
r009s029,6460,0.7233046084675908,LARGE
r009s035,28,0.008705114254624592,SMALL
r009s043,1042,0.6520484708597807,MEDIUM
r009s044,32368,0.7624472786543665,LARGE
r009s064,5258,0.8085483870967742,LARGE
r009s079,64,0.24758220502901354,SMALL
r009s088,12481,0.22762766913136617,LARGE
r009s102,2099,0.8399896933779953,MEDIUM
r009s110,1462,0.13107080163838503,MEDIUM
r009s113,1032,0.2210232558139535,MEDIUM
r009s125,1865,0.6899922819655261,MEDIUM
r010s001,1261,0.52400548696845,MEDIUM
r010s008,839,0.7413010590015129,MEDIUM
r010s009,1255,0.27882037533512066,MEDIUM
r010s011,563,0.7814432989690722,MEDIUM
r010s027,625,0.8179591836734694,MEDIUM
r011s026,67,0.8243243243243243,SMALL
r011s029,4035,0.8053633217993079,LARGE
r011s031,451,0.8087056128293242,SMALL
r014s001,84,0.07708779443254818,SMALL
r015s001,76426,0.8354140710417249,LARGE
r015s003,623432,0.9284032585945153,LARGE
r015s005,109455,0.6324121639067553,LARGE
r015s026,15671,0.4932680210926417,LARGE
r017s105,963,0.672082717872969,MEDIUM
r017s118,446,0.828,SMALL
r017s119,15932,0.48727793096227007,LARGE
r018s007,55946,0.7700813210521948,LARGE
r019s008,1938,0.6406701328711727,MEDIUM
r019s009,11627,0.7710893419640694,LARGE
r023s001,10366,0.08170986429856943,LARGE
r024s001,1471,0.8264609908039158,MEDIUM
r024s005,38014,0.9176047652785432,LARGE
r024s006,835,0.6468023255813954,MEDIUM
r027s001,1716,0.8088347296268088,MEDIUM
r027s006,268,0.8783068783068783,SMALL
r027s012,601,0.8262975778546713,MEDIUM
r027s014,61385,0.9115310916058845,LARGE
r027s015,2687,0.8534525583705912,MEDIUM
r027s047,9924,0.88,LARGE
r027s048,105192,0.8601952512050514,LARGE
r027s053,203053,0.9152208919533451,LARGE
r027s057,107487,0.9414897236195721,LARGE
r028s001,61007,0.8746607127221785,LARGE
r028s010,54117,0.8629981024667932,LARGE
r028s011,300,0.17316017316017315,SMALL
r029s003,47646,0.8721957251369016,LARGE
r031s004,2614,0.4441511301765385,MEDIUM
r031s016,1880,0.9197465681098205,MEDIUM
r031s023,539,0.8267716535433071,MEDIUM
r031s030,21970,0.7627484874675886,LARGE
r031s033,35611,0.8627169359664871,LARGE
r032s014,2737,0.6317474174305252,MEDIUM
r032s018,209,0.6275115919629057,SMALL
r032s020,23959,0.8299981890619341,LARGE
r032s030,64864,0.9087364792582907,LARGE
r032s043,67282,0.9104742227744196,LARGE
r032s046,92891,0.9112177755173401,LARGE
r032s048,5700,0.7515795519816197,LARGE
r034s010,164,0.7882037533512064,SMALL
r034s011,5575,0.7756777395952653,LARGE
r034s012,1532,0.0842344906089926,MEDIUM
r034s039,46404,0.847925518330199,LARGE
r034s046,783,0.5512239347234814,MEDIUM
r035s002,10796,0.8146280991735537,LARGE
r035s005,4277,0.7436733128834356,LARGE
r035s012,98437,0.6915239792360734,LARGE
r038s005,88451,0.8478790338948651,LARGE
r038s006,1234,0.7786116322701688,MEDIUM
r038s015,14812,0.9017991541824959,LARGE
r038s017,46165,0.7476564071615369,LARGE
r038s022,28091,0.8305899192311624,LARGE
r038s028,34131,0.8159685468017541,LARGE
r038s029,21023,0.5503663812130308,LARGE
r038s031,2760,0.44571203776553897,MEDIUM
r038s039,16452,0.8353927496859755,LARGE
r038s040,27075,0.7898367204068606,LARGE
r038s044,1013,0.1869846000993542,MEDIUM
r038s049,93776,0.7626501327746242,LARGE
r038s063,43822,0.7268115425721411,LARGE
r038s070,9176,0.8845162801592878,LARGE
r038s073,1617,0.03571428571428571,MEDIUM
r038s078,181833,0.8905130916399822,LARGE
r038s083,1205,0.7261538461538461,MEDIUM
r038s091,4447,0.8216537775133849,LARGE
r038s092,52608,0.8341810580799284,LARGE
r038s093,589,0.0841404358353511,MEDIUM
r038s094,1169,0.5904203323558163,MEDIUM
r040s005,2965,0.7050847457627119,MEDIUM
r040s006,23006,0.5797002545998583,LARGE
r040s013,2906,0.7949360044518642,MEDIUM
r040s014,271,0.043076923076923075,SMALL
r040s017,749,0.6195826645264848,MEDIUM
r040s020,17132,0.7913431472437902,LARGE
r040s031,185045,0.8961181115324521,LARGE
r040s032,102970,0.6712136153968506,LARGE
r040s038,16943,0.8173529316330835,LARGE
r040s044,190818,0.9266739935686082,LARGE
r040s050,86213,0.6434714925082701,LARGE
r040s051,121,0.4014084507042254,SMALL
r040s053,98757,0.8289550428781798,LARGE
r040s061,289688,0.8008508353968513,LARGE
r040s066,385,0.8119402985074626,SMALL
r040s073,4229,0.8112307180113195,LARGE
r040s077,21172,0.8550082612964249,LARGE
r040s081,122334,0.8476918798665184,LARGE
r042s002,5211,0.7339099180051668,LARGE
r042s005,506,0.5737100737100738,MEDIUM
r042s012,24646,0.6787098072762039,LARGE
r042s018,128616,0.9236805508241923,LARGE
r042s029,29186,0.8303732495211174,LARGE
r042s031,17997,0.8240829979023754,LARGE
r042s033,9102,0.8235501084853105,LARGE
r042s035,6644,0.3986654455056915,LARGE
r042s036,419,0.6845878136200717,SMALL
r044s003,34602,0.7593121909169276,LARGE
r045s002,9067,0.8515099715099715,LARGE
r046s009,133753,0.8951357262496367,LARGE
r047s002,83603,0.9233465415941401,LARGE
r047s010,17670,0.3915270221254987,LARGE
r047s027,13404,0.8750865318052458,LARGE
r047s032,194121,0.9401112499054662,LARGE
r047s035,85705,0.8606344319386262,LARGE
r047s037,34646,0.8664292341304283,LARGE
r047s039,5772,0.37047970479704795,LARGE
r047s042,7117,0.4675923831923651,LARGE
r047s043,1744,0.3479905437352246,MEDIUM
r047s044,21024,0.8371406410288488,LARGE
r048s002,247886,0.9137128278117619,LARGE
r048s004,48491,0.9081713358031887,LARGE
r048s005,5574,0.9065589271898908,LARGE
r048s009,94041,0.8290804090481764,LARGE
r048s013,5710,0.5014972008853014,LARGE
r048s018,81789,0.9201733425134665,LARGE
r048s027,1495,0.6872119815668203,MEDIUM
r048s033,251,0.7303370786516854,SMALL
