case_id,n_ref,dice,size_group
r001s003,1279,0.8063427800269906,MEDIUM
r001s011,10749,0.8702566594513407,LARGE
r001s016,4148,0.6528799019607843,LARGE
r001s018,230,0.8120567375886525,SMALL
r001s020,62748,0.8285514448739186,LARGE
r001s021,1787,0.5874524714828897,MEDIUM
r001s025,2955,0.874095513748191,MEDIUM
r001s026,2515,0.7448078300310337,MEDIUM
r001s030,5449,0.19858156028368795,LARGE
r001s031,30888,0.8176734603781914,LARGE
r002s009,38926,0.8708662179828597,LARGE
r002s012,24575,0.8652607820141178,LARGE
r003s002,4396,0.47627264883520276,LARGE
r003s005,162015,0.9500805347629135,LARGE
r003s006,795,0.8900772430184195,MEDIUM
r003s007,2794,0.815530303030303,MEDIUM
r003s011,9412,0.7861827721906428,LARGE
r003s015,6023,0.6220160651657427,LARGE
r004s002,42202,0.8528905104803073,LARGE
r004s005,2993,0.49357370827223324,MEDIUM
r004s007,6660,0.7748770978131887,LARGE
r004s008,1620,0.7957589285714286,MEDIUM
r004s011,45472,0.8721129919742053,LARGE
r004s017,25773,0.836878453038674,LARGE
r004s022,48594,0.9409771592799879,LARGE
r004s027,78965,0.9114311167843419,LARGE
r004s032,75113,0.9370129825783496,LARGE
r004s033,283751,0.9325061587135407,LARGE
r004s036,6378,0.6197665056360708,LARGE
r005s045,274,0.7713310580204779,SMALL
r005s056,2387,0.7886930727621706,MEDIUM
r005s069,5421,0.7966550753435999,LARGE
r005s073,398,0.9014778325123153,SMALL
r005s074,207275,0.9211766640494902,LARGE
r005s077,879,0.6298276886512181,MEDIUM
r005s082,654,0.44238683127572015,MEDIUM
r005s084,1056,0.7221186124580381,MEDIUM
r008s006,129,0.0,SMALL
r009s003,12617,0.6148611492988727,LARGE
r009s005,799,0.7272727272727273,MEDIUM
r009s007,67499,0.6709066810464301,LARGE
r009s008,4321,0.0691809863869672,LARGE
r009s016,65,0.0,SMALL
r009s022,52390,0.7827025687764908,LARGE
r009s031,101,0.007858546168958742,SMALL
r009s045,626,0.9093877551020408,MEDIUM
r009s046,1391,0.0,MEDIUM
r009s049,25360,0.13898316946009306,LARGE
r009s052,14946,0.6884972798500664,LARGE
r009s057,74,0.8527131782945736,SMALL
r009s061,398,0.5820359281437125,SMALL
r009s066,1159,0.0,MEDIUM
r009s067,17073,0.5736585365853658,LARGE
r009s071,2517,0.2735317779565567,MEDIUM
r009s078,1509,0.34621993127147765,MEDIUM
r009s084,65,0.017494280715919797,SMALL
r009s085,24058,0.7333629821298617,LARGE
r009s086,1030,0.6541176470588236,MEDIUM
r009s092,1262,0.6780128794848206,MEDIUM
r009s094,2195,0.2837677725118483,MEDIUM
r009s105,6979,0.7748651221834338,LARGE
r009s106,117,0.0,SMALL
r009s119,1531,0.8001054852320675,MEDIUM
r009s122,58,0.0,SMALL
r010s003,5897,0.6769093743041639,LARGE
r010s005,6579,0.5337314753373148,LARGE
r010s007,3727,0.7223829787234043,LARGE
r010s023,121,0.6728971962616822,SMALL
r010s028,10309,0.6912511759172154,LARGE
r010s029,117,0.7766323024054983,SMALL
r010s032,301,0.7626582278481012,SMALL
r011s001,1392,0.6149584487534626,MEDIUM
r011s016,688,0.6493273542600897,MEDIUM
r011s020,1956,0.8151460942158617,MEDIUM
r011s022,404,0.7331042382588774,SMALL
r011s024,2401,0.4151315789473684,MEDIUM
r011s030,3749,0.4108952702702703,LARGE
r011s033,66,0.8235294117647058,SMALL
r014s002,85,0.0,SMALL
r014s008,142,0.11522633744855967,SMALL
r015s007,245276,0.7783034577780616,LARGE
r015s014,5748,0.6866566716641679,LARGE
r015s018,5727,0.8491599018312253,LARGE
r015s019,1388,0.7460595446584939,MEDIUM
r017s103,17926,0.8600852087090619,LARGE
r017s117,394,0.8962868117797695,SMALL
r017s121,56725,0.7767815145813735,LARGE
r018s001,19758,0.9046347973792769,LARGE
r018s002,82999,0.8768480770875502,LARGE
r018s008,37026,0.841159116600954,LARGE
r018s012,41404,0.8407068497543434,LARGE
r019s011,15105,0.7760519299872494,LARGE
r023s003,443779,0.8198547167980568,LARGE
r023s004,18404,0.5148040116673992,LARGE
r023s005,788100,0.8698196234093631,LARGE
r023s007,13872,0.7767364939360529,LARGE
r023s008,835278,0.9497172910047355,LARGE
r023s014,12774,0.8209963052618168,LARGE
r023s015,20048,0.38183158139715295,LARGE
r024s009,31672,0.8726320032245063,LARGE
r024s011,3882,0.783257719888775,LARGE
r024s012,375,0.4686192468619247,SMALL
r024s016,50566,0.7914094408406714,LARGE
r024s017,9749,0.7050920066205822,LARGE
r024s018,15070,0.8498255408234473,LARGE
r024s020,864,0.5924642702468601,MEDIUM
r024s021,665,0.4882445141065831,MEDIUM
r027s009,23990,0.8891363774425433,LARGE
r027s017,5238,0.8998357963875205,LARGE
r027s028,8113,0.8290189396421784,LARGE
r027s054,153,0.6411889596602972,SMALL
r027s058,2012,0.8696239585678901,MEDIUM
r028s007,3612,0.850790099286813,LARGE
r028s008,58544,0.9016152716593245,LARGE
r028s013,10065,0.7844631921545115,LARGE
r028s016,42052,0.7183937234023923,LARGE
r028s021,180160,0.9263608996858198,LARGE
r029s005,2833,0.0,MEDIUM
r029s006,111544,0.9040626249928575,LARGE
r029s007,36571,0.7999937731560759,LARGE
r029s008,3101,0.7883452446399121,LARGE
r030s003,442,0.797940797940798,SMALL
r030s014,98211,0.9008916257114552,LARGE
r030s017,83489,0.931828292474598,LARGE
r031s005,2016,0.25426456388799484,MEDIUM
r031s007,65806,0.5766419420094403,LARGE
r031s010,2208,0.5970010820837842,MEDIUM
r031s015,5168,0.6675422467384642,LARGE
r031s017,600,0.7561374795417348,MEDIUM
r031s020,6734,0.8887189292543021,LARGE
r031s022,164929,0.9368376878538078,LARGE
r031s034,105753,0.9224898348097623,LARGE
r031s035,47444,0.8548937543393016,LARGE
r032s005,35592,0.8266644470076222,LARGE
r032s007,2690,0.705122288878634,MEDIUM
r032s019,30052,0.6425231384436776,LARGE
r032s028,3716,0.15930599369085174,LARGE
r032s039,1355,0.15696649029982362,MEDIUM
r032s057,1313,0.0,MEDIUM
r034s006,3128,0.7988061797752809,LARGE
r034s008,1411,0.7669862442684452,MEDIUM
r034s015,5333,0.37785509000151263,LARGE
r034s032,244,0.7345132743362832,SMALL
r034s040,1612,0.8009305417082087,MEDIUM
r035s006,75587,0.9063833593131116,LARGE
r035s011,5705,0.7699463327370304,LARGE
r035s015,389017,0.7600671673156071,LARGE
r038s001,1508,0.50171298058622,MEDIUM
r038s008,25843,0.6310858604861164,LARGE
r038s016,4241,0.8404860392967942,LARGE
r038s019,59714,0.7161686830814425,LARGE
r038s023,1415,0.6786737617683176,MEDIUM
r038s033,5739,0.7765747104792392,LARGE
r038s036,11559,0.6823048901644773,LARGE
r038s037,2362,0.7797940166748406,MEDIUM
r038s046,12795,0.6921900347624566,LARGE
r038s048,40397,0.746524288735246,LARGE
r038s051,46905,0.5132754478795396,LARGE
r038s053,143656,0.8186541483769577,LARGE
r038s061,136610,0.5443232037984891,LARGE
r038s066,17301,0.8711282734615071,LARGE
r038s075,6064,0.2808071102570262,LARGE
r038s077,80532,0.8091888512809537,LARGE
r038s097,1974,0.22272114952851368,MEDIUM
r039s001,555,0.8094262295081968,MEDIUM
r040s001,1083,0.6875871687587168,MEDIUM
r040s002,838,0.8605664488017429,MEDIUM
r040s009,5239,0.6440312136808899,LARGE
r040s011,9216,0.8496308915388984,LARGE
r040s015,112257,0.8672444950137206,LARGE
r040s022,1349,0.8887256702166728,MEDIUM
r040s028,135543,0.8534357561659682,LARGE
r040s030,236766,0.8848428156215548,LARGE
r040s033,43848,0.8467666354264293,LARGE
r040s046,310,0.7875457875457875,SMALL
r040s058,238,0.42829076620825146,SMALL
r040s068,166648,0.8482387775244189,LARGE
r040s069,53868,0.8705619070785697,LARGE
r040s076,132079,0.9234728003840131,LARGE
r040s078,4700,0.8479178551055334,LARGE
r041s073,498,0.6023468057366362,SMALL
r042s003,1247,0.7195988299206018,MEDIUM
r042s006,46024,0.7979796750441186,LARGE
r042s008,118441,0.9171908021588489,LARGE
r042s010,11311,0.7559357541899442,LARGE
r042s014,352,0.7055016181229773,SMALL
r042s030,4315,0.6987559241706162,LARGE
r042s034,1377,0.37220566318926973,MEDIUM
r046s003,11280,0.9021519543258674,LARGE
r046s005,283799,0.8877897673852423,LARGE
r046s006,1903,0.7595593000648088,MEDIUM
r046s007,2437,0.8876855194544725,MEDIUM
r047s006,712,0.8473053892215568,MEDIUM
r047s009,1031,0.33978702807357214,MEDIUM
r047s017,6014,0.6823295830575777,LARGE
r047s018,55118,0.8677922300025653,LARGE
r047s025,7396,0.7142244705478865,LARGE
r047s028,3275,0.5290173410404624,LARGE
r047s040,709,0.835236541598695,MEDIUM
r047s048,1314,0.3922375771831814,MEDIUM
r048s003,40622,0.9051963410807811,LARGE
r048s011,746,0.0,MEDIUM
r048s014,764,0.905608755129959,MEDIUM
r048s020,715,0.7553784860557768,MEDIUM
r048s021,34681,0.7823544523690102,LARGE
r048s028,92374,0.8924744580114627,LARGE
r048s029,348,0.7701317715959004,SMALL
r048s030,141,0.0,SMALL
r048s035,5392,0.6855949895615866,LARGE
r048s039,1265,0.7660771704180064,MEDIUM
r049s004,68,0.41638225255972694,SMALL
r049s007,515,0.7373380447585395,MEDIUM
r049s013,8653,0.8873362445414847,LARGE
r049s016,363,0.36771300448430494,SMALL
r049s018,51,0.0,SMALL
r049s023,9012,0.8944619799139167,LARGE
r049s025,109,0.0,SMALL
r049s026,220,0.18439716312056736,SMALL
r050s003,32,0.0,SMALL
r050s008,122,0.0,SMALL
r050s014,117,0.5930232558139535,SMALL
r052s002,1335,0.8673621460506706,MEDIUM
r052s007,895,0.7005003573981415,MEDIUM
r052s008,114497,0.8955348583590582,LARGE
r052s014,37726,0.9027031320325117,LARGE
r052s026,84629,0.8297078038624452,LARGE
r053s042,15,0.46153846153846156,SMALL
r053s053,2608,0.6179493034939484,MEDIUM
r056s003,870,0.8004158004158004,MEDIUM
r056s008,33759,0.8563333651672874,LARGE
r056s017,1361,0.0,MEDIUM
r057s040,97811,0.933797732757397,LARGE
r057s043,42298,0.9376207884136261,LARGE
r057s046,151197,0.934158064165168,LARGE
r057s048,679,0.36195652173913045,MEDIUM
r058s051,379,0.4495114006514658,SMALL
r058s054,54701,0.7633309128019939,LARGE
r058s059,11859,0.6347205043290907,LARGE
r059s014,6139,0.8141278929118619,LARGE
r059s015,127450,0.891515000415524,LARGE
r059s017,1881,0.6083916083916084,MEDIUM
r059s018,30572,0.5724073330657032,LARGE
r059s036,7543,0.3647960610977452,LARGE
r059s041,3799,0.4855085840871331,LARGE
r061s005,21461,0.820426935959606,LARGE
r061s007,9171,0.9113351877607788,LARGE
r062s013,130,0.03767820773930754,SMALL
r064s003,20013,0.7456782888953999,LARGE
r067s020,9297,0.0,LARGE
r067s021,7118,0.0,LARGE
r067s034,8361,0.7843862007168458,LARGE
r069s002,16967,0.5357683422289492,LARGE
r069s006,973,0.08421052631578947,MEDIUM
r069s007,3114,0.5376391982182628,LARGE
r069s030,9833,0.6253953300585425,LARGE
r069s031,4387,0.59424,LARGE
r069s034,1229,0.5220193340494093,MEDIUM
r069s037,6458,0.46686203787195674,LARGE
r069s040,5108,0.6236141906873615,LARGE
r069s043,67749,0.9053445319538492,LARGE
r070s006,19513,0.6840587426238963,LARGE
r071s001,1386,0.6281446540880503,MEDIUM
r071s028,5082,0.8627710957477034,LARGE
r071s031,1375,0.8555878084179971,MEDIUM
r071s032,2164,0.7693127330847096,MEDIUM
soop0164,32435,0.5334340600043168,LARGE
soop0168,20999,0.7126777020447906,LARGE
soop0251,153284,0.9188366805479786,LARGE
soop0356,139050,0.7959588441850982,LARGE
soop0371,21381,0.9372641723871437,LARGE
soop0375,242078,0.911081934694508,LARGE
soop0556,71350,0.9541413756882319,LARGE
soop0769,5020,0.8338938917218184,LARGE
soop0783,70759,0.9068786544905065,LARGE
soop0894,55103,0.958623649629704,LARGE
soop0910,0,0.0,EMPTY
soop0968,86026,0.8790166308213199,LARGE
soop1012,1193,0.34143377885783716,MEDIUM
soop1129,292619,0.8660607243876977,LARGE
soop1133,70,0.5619834710743802,SMALL
soop1157,194659,0.6798676940234197,LARGE
soop1166,85742,0.9487449374184839,LARGE
soop1266,367260,0.2257031022455228,LARGE
soop1344,971,0.905458089668616,MEDIUM
soop1412,93915,0.8500814332247557,LARGE
soop1429,81613,0.725080323113545,LARGE
soop1458,73865,0.7535230999983518,LARGE
soop1488,1645353,0.5298778461561668,LARGE
soop1532,5078,0.9229720518064076,LARGE
soop1590,3246195,0.9666010673950621,LARGE
soop1737,98433,0.5198016147325892,LARGE
r001s001,89056,0.8076111506450915,LARGE
r001s004,32931,0.8407599897759223,LARGE
r001s005,25816,0.8599852010194853,LARGE
r001s007,3194,0.7037884566488686,LARGE
r001s008,1686,0.16030534351145037,MEDIUM
r001s009,6111,0.6011336729568774,LARGE
r001s010,79902,0.846584323596558,LARGE
r001s015,4796,0.8188000971581249,LARGE
r001s023,12,0.1340782122905028,SMALL
r001s027,966,0.8342665173572228,MEDIUM
r001s034,1947,0.7825638380190869,MEDIUM
r002s002,22301,0.9028256374913852,LARGE
r002s003,2830,0.6946778711484594,MEDIUM
r003s004,99446,0.9082754629629629,LARGE
r003s008,100640,0.9085017685095222,LARGE
r003s009,30391,0.9117642018678777,LARGE
r003s013,5249,0.8489629930866206,LARGE
r004s003,37139,0.35081397593462454,LARGE
r004s024,40006,0.8593868953966401,LARGE
