case_id,n_ref,dice,size_group
r001s003,1279,0.8076664425016813,MEDIUM
r001s011,10749,0.8747456877487837,LARGE
r001s016,4148,0.6301798279906177,LARGE
r001s018,230,0.8297101449275363,SMALL
r001s020,62748,0.8326009671649701,LARGE
r001s021,1787,0.586131157828679,MEDIUM
r001s025,2955,0.8768844221105527,MEDIUM
r001s026,2515,0.7559650366170565,MEDIUM
r001s030,5449,0.25312,LARGE
r001s031,30888,0.8201449408311164,LARGE
r002s009,38926,0.8732506707272859,LARGE
r002s012,24575,0.8643510704450564,LARGE
r003s002,4396,0.47701348081576217,LARGE
r003s005,162015,0.9519038440557152,LARGE
r003s006,795,0.887182516243355,MEDIUM
r003s007,2794,0.8230221222347207,MEDIUM
r003s011,9412,0.7905527512930766,LARGE
r003s015,6023,0.6518469365184694,LARGE
r004s002,42202,0.8501025820922494,LARGE
r004s005,2993,0.557656510238072,MEDIUM
r004s007,6660,0.7803865197252835,LARGE
r004s008,1620,0.7898789878987899,MEDIUM
r004s011,45472,0.873876080187524,LARGE
r004s017,25773,0.8413785889859317,LARGE
r004s022,48594,0.9421484268608838,LARGE
r004s027,78965,0.9098620289545809,LARGE
r004s032,75113,0.936798194624906,LARGE
r004s033,283751,0.9329192546583851,LARGE
r004s036,6378,0.6378281622911695,LARGE
r005s045,274,0.7736486486486487,SMALL
r005s056,2387,0.7830155979202773,MEDIUM
r005s069,5421,0.8042949416995219,LARGE
r005s073,398,0.9079601990049752,SMALL
r005s074,207275,0.9254754011956114,LARGE
r005s077,879,0.6317711503347535,MEDIUM
r005s082,654,0.4384112619406737,MEDIUM
r005s084,1056,0.7218493661446681,MEDIUM
r008s006,129,0.0,SMALL
r009s003,12617,0.6271753455209003,LARGE
r009s005,799,0.7644376899696048,MEDIUM
r009s007,67499,0.6667566028120034,LARGE
r009s008,4321,0.08329679964927664,LARGE
r009s016,65,0.0,SMALL
r009s022,52390,0.7930969831259588,LARGE
r009s031,101,0.007219031993437244,SMALL
r009s045,626,0.9050736497545008,MEDIUM
r009s046,1391,0.002575107296137339,MEDIUM
r009s049,25360,0.24070411392405064,LARGE
r009s052,14946,0.7033998283998284,LARGE
r009s057,74,0.8615384615384616,SMALL
r009s061,398,0.5100105374077977,SMALL
r009s066,1159,0.0,MEDIUM
r009s067,17073,0.5845690712454008,LARGE
r009s071,2517,0.240314430095452,MEDIUM
r009s078,1509,0.336734693877551,MEDIUM
r009s084,65,0.017651052274270197,SMALL
r009s085,24058,0.7208221397808195,LARGE
r009s086,1030,0.6704816404387219,MEDIUM
r009s092,1262,0.6727605118829981,MEDIUM
r009s094,2195,0.30153475774902194,MEDIUM
r009s105,6979,0.7784858526637777,LARGE
r009s106,117,0.0,SMALL
r009s119,1531,0.7983149025803055,MEDIUM
r009s122,58,0.0,SMALL
r010s003,5897,0.6827211186327822,LARGE
r010s005,6579,0.47273567467652494,LARGE
r010s007,3727,0.7819597663854639,LARGE
r010s023,121,0.6794871794871795,SMALL
r010s028,10309,0.6925679909763128,LARGE
r010s029,117,0.7702702702702703,SMALL
r010s032,301,0.7655502392344498,SMALL
r011s001,1392,0.629849383842994,MEDIUM
r011s016,688,0.6637089618456078,MEDIUM
r011s020,1956,0.8209529446581829,MEDIUM
r011s022,404,0.7387802071346375,SMALL
r011s024,2401,0.42084562438544737,MEDIUM
r011s030,3749,0.4131534569983137,LARGE
r011s033,66,0.8129032258064516,SMALL
r014s002,85,0.0,SMALL
r014s008,142,0.13008130081300814,SMALL
r015s007,245276,0.7790136680307234,LARGE
r015s014,5748,0.683694363616769,LARGE
r015s018,5727,0.8529966076140219,LARGE
r015s019,1388,0.7570376786487657,MEDIUM
r017s103,17926,0.8595473315561131,LARGE
r017s117,394,0.8968152866242038,SMALL
r017s121,56725,0.7746983023113111,LARGE
r018s001,19758,0.9064144537407542,LARGE
r018s002,82999,0.8766884037425574,LARGE
r018s008,37026,0.8466269593346939,LARGE
r018s012,41404,0.8405711360145628,LARGE
r019s011,15105,0.7772710106614763,LARGE
r023s003,443779,0.8210128288734594,LARGE
r023s004,18404,0.5256070028122153,LARGE
r023s005,788100,0.8742679667999195,LARGE
r023s007,13872,0.780325559555486,LARGE
r023s008,835278,0.950705172540564,LARGE
r023s014,12774,0.8266632787024097,LARGE
r023s015,20048,0.3560040953634635,LARGE
r024s009,31672,0.8738865009655516,LARGE
r024s011,3882,0.7842384887839433,LARGE
r024s012,375,0.45965770171149145,SMALL
r024s016,50566,0.7950967984855299,LARGE
r024s017,9749,0.73128608655664,LARGE
r024s018,15070,0.8541196877710321,LARGE
r024s020,864,0.6005291005291006,MEDIUM
r024s021,665,0.48388349514563106,MEDIUM
