case_id,n_ref,dice,size_group
r001s003,1279,0.8066666666666666,MEDIUM
r001s011,10749,0.8766519823788547,LARGE
r001s016,4148,0.5531844499586435,LARGE
r001s018,230,0.8351648351648352,SMALL
r001s020,62748,0.8375735858715126,LARGE
r001s021,1787,0.5914634146341463,MEDIUM
r001s025,2955,0.8826657213753988,MEDIUM
r001s026,2515,0.7758700696055685,MEDIUM
r001s030,5449,0.7442179986260591,LARGE
r001s031,30888,0.8248326542491269,LARGE
r002s009,38926,0.8751042308668383,LARGE
r002s012,24575,0.8643977665514491,LARGE
r003s002,4396,0.4815006023059714,LARGE
r003s005,162015,0.9529166172891276,LARGE
r003s006,795,0.8820093457943925,MEDIUM
r003s007,2794,0.8331786973464465,MEDIUM
r003s011,9412,0.79461905647511,LARGE
r003s015,6023,0.6882573726541555,LARGE
r004s002,42202,0.8433053227180464,LARGE
r004s005,2993,0.6633872101194659,MEDIUM
r004s007,6660,0.7206726825266612,LARGE
r004s008,1620,0.7740053050397878,MEDIUM
r004s011,45472,0.874380396081078,LARGE
r004s017,25773,0.8431008512277998,LARGE
r004s022,48594,0.9417846525923314,LARGE
r004s027,78965,0.9078315466052166,LARGE
r004s032,75113,0.9362640070642836,LARGE
r004s033,283751,0.9323656781691508,LARGE
r004s036,6378,0.6540312285181185,LARGE
r005s045,274,0.7651888341543513,SMALL
r005s056,2387,0.7729831144465291,MEDIUM
r005s069,5421,0.8053428620044241,LARGE
r005s073,398,0.8992443324937027,SMALL
r005s074,207275,0.9279999261727006,LARGE
r005s077,879,0.631439894319683,MEDIUM
r005s082,654,0.46282722513089003,MEDIUM
r005s084,1056,0.7226141849238767,MEDIUM
r008s006,129,0.0,SMALL
r009s003,12617,0.6480483637797345,LARGE
r009s005,799,0.78640059127864,MEDIUM
r009s007,67499,0.6638225594977949,LARGE
r009s008,4321,0.22674184454289167,LARGE
r009s016,65,0.0,SMALL
r009s022,52390,0.7910703451229523,LARGE
r009s031,101,0.0,SMALL
r009s045,626,0.9090909090909091,MEDIUM
r009s046,1391,0.009243697478991597,MEDIUM
r009s049,25360,0.1165062491021405,LARGE
r009s052,14946,0.7395392438144476,LARGE
r009s057,74,0.8615384615384616,SMALL
r009s061,398,0.4737827715355805,SMALL
r009s066,1159,0.20505415162454874,MEDIUM
r009s067,17073,0.610218465082681,LARGE
r009s071,2517,0.31883228391528334,MEDIUM
r009s078,1509,0.3408414789630259,MEDIUM
r009s084,65,0.017619951206288967,SMALL
r009s085,24058,0.7407031778228533,LARGE
r009s086,1030,0.7131341868183974,MEDIUM
r009s092,1262,0.6699864191942055,MEDIUM
r009s094,2195,0.3144284454892742,MEDIUM
r009s105,6979,0.7838342235665101,LARGE
r009s106,117,0.0,SMALL
r009s119,1531,0.79884149552396,MEDIUM
r009s122,58,0.0,SMALL
r010s003,5897,0.6981937602627257,LARGE
r010s005,6579,0.37875061485489425,LARGE
r010s007,3727,0.810819360961721,LARGE
r010s023,121,0.6901408450704225,SMALL
r010s028,10309,0.695869524464163,LARGE
r010s029,117,0.75,SMALL
r010s032,301,0.7648,SMALL
r011s001,1392,0.655693950177936,MEDIUM
r011s016,688,0.6753698868581375,MEDIUM
r011s020,1956,0.8289821061894984,MEDIUM
r011s022,404,0.7318181818181818,SMALL
r011s024,2401,0.431640625,MEDIUM
r011s030,3749,0.585274229902329,LARGE
r011s033,66,0.8289473684210527,SMALL
r014s002,85,0.0,SMALL
r014s008,142,0.11570247933884298,SMALL
r015s007,245276,0.7810876524791978,LARGE
r015s014,5748,0.6821974211723913,LARGE
r015s018,5727,0.8595864661654136,LARGE
r015s019,1388,0.7641509433962265,MEDIUM
r017s103,17926,0.8578112815180661,LARGE
r017s117,394,0.8967254408060453,SMALL
r017s121,56725,0.7706447247490646,LARGE
r018s001,19758,0.9061147513237747,LARGE
r018s002,82999,0.8788353285179511,LARGE
r018s008,37026,0.8454264870931537,LARGE
r018s012,41404,0.8397595660460343,LARGE
r019s011,15105,0.7804165571232436,LARGE
r023s003,443779,0.8214052217559613,LARGE
r023s004,18404,0.5341517154548316,LARGE
r023s005,788100,0.876958297307732,LARGE
r023s007,13872,0.7817898832684825,LARGE
r023s008,835278,0.9508906907543003,LARGE
r023s014,12774,0.8316122233930453,LARGE
r023s015,20048,0.22567187348403997,LARGE
r024s009,31672,0.875627021705499,LARGE
r024s011,3882,0.7717550542045122,LARGE
r024s012,375,0.4428904428904429,SMALL
r024s016,50566,0.8007099603257465,LARGE
r024s017,9749,0.6967141610933411,LARGE
r024s018,15070,0.8565613357251276,LARGE
r024s020,864,0.6026200873362445,MEDIUM
r024s021,665,0.4772117962466488,MEDIUM
r027s009,23990,0.8948705129487051,LARGE
r027s017,5238,0.9020972616539976,LARGE
r027s028,8113,0.8335702287117198,LARGE
r027s054,153,0.6265560165975104,SMALL
r027s058,2012,0.8702290076335878,MEDIUM
r028s007,3612,0.8551512616757284,LARGE
r028s008,58544,0.8874743326488707,LARGE
r028s013,10065,0.7867589787970576,LARGE
r028s016,42052,0.7149703193379262,LARGE
r028s021,180160,0.928287324522034,LARGE
r029s005,2833,0.0,MEDIUM
r029s006,111544,0.9143500915364033,LARGE
r029s007,36571,0.8228014194972118,LARGE
r029s008,3101,0.8060128847530422,LARGE
r030s003,442,0.8041237113402062,SMALL
r030s014,98211,0.9010114796851008,LARGE
r030s017,83489,0.9305787456200174,LARGE
r031s005,2016,0.32754010695187163,MEDIUM
r031s007,65806,0.5752835650471233,LARGE
r031s010,2208,0.5828155781178966,MEDIUM
r031s015,5168,0.6685038670104009,LARGE
r031s017,600,0.7552674230145867,MEDIUM
r031s020,6734,0.8843589547091731,LARGE
r031s022,164929,0.9371101566979907,LARGE
r031s034,105753,0.9285089352196575,LARGE
r031s035,47444,0.8498635822157322,LARGE
r032s005,35592,0.8166495471099076,LARGE
r032s007,2690,0.46175166297117515,MEDIUM
r032s019,30052,0.6946072684642438,LARGE
r032s028,3716,0.1497152156224573,LARGE
r032s039,1355,0.18752178459393518,MEDIUM
r032s057,1313,0.0,MEDIUM
r034s006,3128,0.8326913414838385,LARGE
r034s008,1411,0.7872939284278246,MEDIUM
r034s015,5333,0.45188284518828453,LARGE
r034s032,244,0.7162162162162162,SMALL
r034s040,1612,0.7974975304576886,MEDIUM
r035s006,75587,0.9049233948414334,LARGE
r035s011,5705,0.7846209648168299,LARGE
r035s015,389017,0.7630063564262892,LARGE
r038s001,1508,0.5281553398058253,MEDIUM
r038s008,25843,0.6992071917421453,LARGE
r038s016,4241,0.8117486338797815,LARGE
r038s019,59714,0.7377290606416494,LARGE
r038s023,1415,0.6661496704148895,MEDIUM
r038s033,5739,0.7947729623014008,LARGE
r038s036,11559,0.710479381721883,LARGE
r038s037,2362,0.785956416464891,MEDIUM
r038s046,12795,0.7171103980574105,LARGE
r038s048,40397,0.7639372308418383,LARGE
r038s051,46905,0.5648084354312075,LARGE
r038s053,143656,0.82337164875967,LARGE
r038s061,136610,0.6011705382697508,LARGE
r038s066,17301,0.8716713574366746,LARGE
r038s075,6064,0.3046237533998187,LARGE
r038s077,80532,0.8110415891716032,LARGE
r038s097,1974,0.22570532915360503,MEDIUM
r039s001,555,0.8178294573643411,MEDIUM
r040s001,1083,0.7178181818181818,MEDIUM
r040s002,838,0.8435155412647374,MEDIUM
r040s009,5239,0.5945180540103165,LARGE
r040s011,9216,0.8601538976246236,LARGE
r040s015,112257,0.85633242495972,LARGE
r040s022,1349,0.8911319394376351,MEDIUM
r040s028,135543,0.8754960797599458,LARGE
r040s030,236766,0.8996953265065939,LARGE
r040s033,43848,0.8580393770656242,LARGE
r040s046,310,0.8014440433212996,SMALL
r040s058,238,0.4167459562321599,SMALL
r040s068,166648,0.8871113556857042,LARGE
r040s069,53868,0.8781995207849999,LARGE
r040s076,132079,0.9280334109760033,LARGE
r040s078,4700,0.8515897090214583,LARGE
r041s073,498,0.6822660098522167,SMALL
r042s003,1247,0.6700468018720749,MEDIUM
r042s006,46024,0.8012751873844057,LARGE
r042s008,118441,0.9207677536748367,LARGE
r042s010,11311,0.751535805569257,LARGE
r042s014,352,0.6666666666666666,SMALL
r042s030,4315,0.6889146836912362,LARGE
r042s034,1377,0.3780647576268014,MEDIUM
r046s003,11280,0.8967711423534975,LARGE
r046s005,283799,0.891290089166719,LARGE
r046s006,1903,0.8213512863669151,MEDIUM
r046s007,2437,0.8989878944234967,MEDIUM
r047s006,712,0.8463768115942029,MEDIUM
r047s009,1031,0.21018766756032173,MEDIUM
r047s017,6014,0.694216275721907,LARGE
r047s018,55118,0.8647607480714672,LARGE
r047s025,7396,0.7109004739336493,LARGE
r047s028,3275,0.5295233843062842,LARGE
r047s040,709,0.8463395012067578,MEDIUM
r047s048,1314,0.4774362328319163,MEDIUM
