case_id,n_ref,dice,size_group
r001s003,1279,0.8104976141785958,MEDIUM
r001s011,10749,0.8720826652414039,LARGE
r001s016,4148,0.635143570536829,LARGE
r001s018,230,0.8106194690265487,SMALL
r001s020,62748,0.8275591483817476,LARGE
r001s021,1787,0.5887698799091204,MEDIUM
r001s025,2955,0.8724489795918368,MEDIUM
r001s026,2515,0.7464755077658304,MEDIUM
r001s030,5449,0.2131979695431472,LARGE
r001s031,30888,0.8032424741650441,LARGE
r002s009,38926,0.869036854859127,LARGE
r002s012,24575,0.8607600579516327,LARGE
r003s002,4396,0.4696890741705749,LARGE
r003s005,162015,0.9487943630363833,LARGE
r003s006,795,0.8888888888888888,MEDIUM
r003s007,2794,0.8189035916824197,MEDIUM
r003s011,9412,0.7851286223946924,LARGE
r003s015,6023,0.6430244228839077,LARGE
r004s002,42202,0.8524674324584484,LARGE
r004s005,2993,0.48110895106077256,MEDIUM
r004s007,6660,0.7544490225300254,LARGE
r004s008,1620,0.8035509736540665,MEDIUM
r004s011,45472,0.8722172178612791,LARGE
r004s017,25773,0.837278464597562,LARGE
r004s022,48594,0.9420200571619015,LARGE
r004s027,78965,0.9109522889704462,LARGE
r004s032,75113,0.9373361730013107,LARGE
r004s033,283751,0.933381284564111,LARGE
r004s036,6378,0.6095528455284552,LARGE
r005s045,274,0.7672727272727272,SMALL
r005s056,2387,0.7993613624268228,MEDIUM
r005s069,5421,0.8037476162838902,LARGE
r005s073,398,0.9034653465346535,SMALL
r005s074,207275,0.9224349964862966,LARGE
r005s077,879,0.6318289786223278,MEDIUM
r005s082,654,0.4425956738768719,MEDIUM
r005s084,1056,0.7181612660135644,MEDIUM
r008s006,129,0.02404809619238477,SMALL
r009s003,12617,0.6045069833861586,LARGE
r009s005,799,0.6823720552396426,MEDIUM
r009s007,67499,0.665482083598196,LARGE
r009s008,4321,0.06919642857142858,LARGE
r009s016,65,0.0,SMALL
r009s022,52390,0.7799732138428215,LARGE
r009s031,101,0.008583690987124463,SMALL
r009s045,626,0.9034941763727121,MEDIUM
r009s046,1391,0.0,MEDIUM
r009s049,25360,0.285206436322814,LARGE
r009s052,14946,0.6854105323501055,LARGE
r009s057,74,0.8615384615384616,SMALL
r009s061,398,0.592964824120603,SMALL
r009s066,1159,0.0,MEDIUM
r009s067,17073,0.5714542901379037,LARGE
r009s071,2517,0.17677946324387397,MEDIUM
r009s078,1509,0.33876500857632935,MEDIUM
r009s084,65,0.01783754116355653,SMALL
r009s085,24058,0.7122380535321385,LARGE
r009s086,1030,0.6572104018912529,MEDIUM
r009s092,1262,0.6771946121690664,MEDIUM
r009s094,2195,0.2750157331655129,MEDIUM
r009s105,6979,0.764835441444843,LARGE
r009s106,117,0.023255813953488372,SMALL
r009s119,1531,0.8007409367557555,MEDIUM
r009s122,58,0.0,SMALL
r010s003,5897,0.6245508287933232,LARGE
r010s005,6579,0.5509021323127392,LARGE
r010s007,3727,0.6736283185840708,LARGE
r010s023,121,0.6751592356687898,SMALL
r010s028,10309,0.6869411912857323,LARGE
r010s029,117,0.7902097902097902,SMALL
r010s032,301,0.7677419354838709,SMALL
r011s001,1392,0.619731357109773,MEDIUM
r011s016,688,0.6410958904109589,MEDIUM
r011s020,1956,0.8081779915814793,MEDIUM
r011s022,404,0.7453271028037384,SMALL
r011s024,2401,0.3994682618810236,MEDIUM
r011s030,3749,0.39247541684480547,LARGE
r011s033,66,0.8076923076923077,SMALL
r014s002,85,0.15384615384615385,SMALL
r014s008,142,0.144,SMALL
r015s007,245276,0.7734511974591285,LARGE
r015s014,5748,0.6963811949485302,LARGE
r015s018,5727,0.8499147242751564,LARGE
r015s019,1388,0.7368888888888889,MEDIUM
r017s103,17926,0.861611374407583,LARGE
r017s117,394,0.890625,SMALL
r017s121,56725,0.7778500665385184,LARGE
r018s001,19758,0.9052148885311478,LARGE
r018s002,82999,0.8765915713006837,LARGE
r018s008,37026,0.8406359896264715,LARGE
r018s012,41404,0.8402208927749655,LARGE
r019s011,15105,0.775813357411237,LARGE
r023s003,443779,0.8219195167019856,LARGE
r023s004,18404,0.5020148291424887,LARGE
r023s005,788100,0.8633585389137316,LARGE
r023s007,13872,0.7774354112348898,LARGE
r023s008,835278,0.9497915116257558,LARGE
r023s014,12774,0.8168318938007914,LARGE
r023s015,20048,0.41383513637056224,LARGE
r024s009,31672,0.872765085671716,LARGE
r024s011,3882,0.7857676782777695,LARGE
r024s012,375,0.4693019343986543,SMALL
r024s016,50566,0.7883055642879597,LARGE
r024s017,9749,0.7473956956268838,LARGE
r024s018,15070,0.8464314494937109,LARGE
r024s020,864,0.5938053097345133,MEDIUM
r024s021,665,0.5012145748987854,MEDIUM
r027s009,23990,0.8884302537331553,LARGE
r027s017,5238,0.8976680384087792,LARGE
r027s028,8113,0.8270696452036793,LARGE
r027s054,153,0.6726057906458798,SMALL
r027s058,2012,0.8723645431874858,MEDIUM
r028s007,3612,0.8453461975028377,LARGE
r028s008,58544,0.8958070093768704,LARGE
r028s013,10065,0.7899057989802092,LARGE
r028s016,42052,0.7134747586973127,LARGE
r028s021,180160,0.9262742335674334,LARGE
r029s005,2833,0.0,MEDIUM
r029s006,111544,0.895655020362579,LARGE
r029s007,36571,0.7744694482261552,LARGE
r029s008,3101,0.7676426426426426,LARGE
r030s003,442,0.7979139504563233,SMALL
r030s014,98211,0.898167853273487,LARGE
r030s017,83489,0.9318707108061017,LARGE
r031s005,2016,0.2681744749596123,MEDIUM
r031s007,65806,0.5771581325436757,LARGE
r031s010,2208,0.6044528659403127,MEDIUM
r031s015,5168,0.6587329366468323,LARGE
r031s017,600,0.7554076539101497,MEDIUM
r031s020,6734,0.8878568709554625,LARGE
r031s022,164929,0.9375563696615911,LARGE
r031s034,105753,0.9219267217735071,LARGE
r031s035,47444,0.8544106586440314,LARGE
r032s005,35592,0.804192252643243,LARGE
r032s007,2690,0.7535349140743963,MEDIUM
r032s019,30052,0.6310278080409558,LARGE
r032s028,3716,0.2623428675532884,LARGE
r032s039,1355,0.14202127659574468,MEDIUM
r032s057,1313,0.0,MEDIUM
r034s006,3128,0.7484276729559748,LARGE
r034s008,1411,0.7535121328224776,MEDIUM
r034s015,5333,0.36288596759400793,LARGE
r034s032,244,0.7354260089686099,SMALL
r034s040,1612,0.7984031936127745,MEDIUM
r035s006,75587,0.9060212333754935,LARGE
r035s011,5705,0.7907872324668592,LARGE
r035s015,389017,0.7598772987893414,LARGE
r038s001,1508,0.48513674197384066,MEDIUM
r038s008,25843,0.6298879112052284,LARGE
r038s016,4241,0.8516177957532861,LARGE
r038s019,59714,0.7183495080778296,LARGE
r038s023,1415,0.674061433447099,MEDIUM
r038s033,5739,0.7729477611940299,LARGE
r038s036,11559,0.6826896513619537,LARGE
r038s037,2362,0.7765983707726487,MEDIUM
r038s046,12795,0.6921957858181988,LARGE
r038s048,40397,0.740992009648726,LARGE
r038s051,46905,0.47604732350659423,LARGE
r038s053,143656,0.8140172806556405,LARGE
r038s061,136610,0.5481789539127289,LARGE
r038s066,17301,0.870205367814843,LARGE
r038s075,6064,0.26562317486274967,LARGE
r038s077,80532,0.8095698432350231,LARGE
r038s097,1974,0.22361921867983836,MEDIUM
r039s001,555,0.7995824634655533,MEDIUM
r040s001,1083,0.7067723342939481,MEDIUM
r040s002,838,0.8613698630136987,MEDIUM
r040s009,5239,0.6270186335403727,LARGE
r040s011,9216,0.8435046702194716,LARGE
r040s015,112257,0.8639424477440546,LARGE
r040s022,1349,0.8932688731870584,MEDIUM
r040s028,135543,0.8486999912090856,LARGE
r040s030,236766,0.8833755716611545,LARGE
r040s033,43848,0.842913179916318,LARGE
r040s046,310,0.7875457875457875,SMALL
r040s058,238,0.4433094994892748,SMALL
r040s068,166648,0.8427057808928009,LARGE
r040s069,53868,0.86781039172747,LARGE
r040s076,132079,0.9226916934482147,LARGE
r040s078,4700,0.8469025535325776,LARGE
r041s073,498,0.5668874172185431,SMALL
r042s003,1247,0.7341666666666666,MEDIUM
r042s006,46024,0.7967849966510382,LARGE
r042s008,118441,0.9177200537111636,LARGE
r042s010,11311,0.7538329026701119,LARGE
r042s014,352,0.703150912106136,SMALL
r042s030,4315,0.694311377245509,LARGE
r042s034,1377,0.3779103328843564,MEDIUM
r046s003,11280,0.9031173999557816,LARGE
r046s005,283799,0.8886524436878198,LARGE
r046s006,1903,0.8018583042973287,MEDIUM
r046s007,2437,0.8904419321685508,MEDIUM
r047s006,712,0.8508705526116578,MEDIUM
r047s009,1031,0.36726741354115927,MEDIUM
r047s017,6014,0.676124916051041,LARGE
r047s018,55118,0.8686795613767895,LARGE
r047s025,7396,0.703030303030303,LARGE
r047s028,3275,0.5414020371479928,LARGE
r047s040,709,0.8285479901558654,MEDIUM
r047s048,1314,0.37081891580161475,MEDIUM
r048s003,40622,0.9054702262706527,LARGE
r048s011,746,0.0,MEDIUM
r048s014,764,0.9017182130584193,MEDIUM
r048s020,715,0.7417763157894737,MEDIUM
r048s021,34681,0.7699688578402492,LARGE
r048s028,92374,0.8915095562202259,LARGE
r048s029,348,0.7759398496240602,SMALL
r048s030,141,0.0,SMALL
r048s035,5392,0.6678459654374744,LARGE
r048s039,1265,0.7716727716727717,MEDIUM
r049s004,68,0.45384615384615384,SMALL
r049s007,515,0.7064555420219245,MEDIUM
r049s013,8653,0.8865073787772312,LARGE
r049s016,363,0.3348623853211009,SMALL
r049s018,51,0.0,SMALL
r049s023,9012,0.8926527809567407,LARGE
r049s025,109,0.0,SMALL
r049s026,220,0.18382352941176472,SMALL
r050s003,32,0.0,SMALL
r050s008,122,0.0,SMALL
r050s014,117,0.5714285714285714,SMALL
r052s002,1335,0.8720666161998486,MEDIUM
r052s007,895,0.6749816581071166,MEDIUM
r052s008,114497,0.8948140964891015,LARGE
r052s014,37726,0.9007598926267711,LARGE
r052s026,84629,0.8304600359804677,LARGE
r053s042,15,0.3488372093023256,SMALL
r053s053,2608,0.6185661764705882,MEDIUM
r056s003,870,0.7976318622174381,MEDIUM
r056s008,33759,0.8558765384860659,LARGE
r056s017,1361,0.0,MEDIUM
r057s040,97811,0.9319421268975622,LARGE
r057s043,42298,0.9378830699091681,LARGE
r057s046,151197,0.9333978132346065,LARGE
r057s048,679,0.38306451612903225,MEDIUM
r058s051,379,0.44518272425249167,SMALL
r058s054,54701,0.7635871961435584,LARGE
r058s059,11859,0.6601949601585568,LARGE
r059s014,6139,0.81181707810603,LARGE
r059s015,127450,0.8910789762705096,LARGE
r059s017,1881,0.6072186836518046,MEDIUM
r059s018,30572,0.5575494219575655,LARGE
r059s036,7543,0.36766460262455264,LARGE
r059s041,3799,0.47505584512285925,LARGE
r061s005,21461,0.8169536556633331,LARGE
r061s007,9171,0.9096192967160709,LARGE
r062s013,130,0.03871625063678044,SMALL
r064s003,20013,0.7345174941884723,LARGE
r067s020,9297,0.0,LARGE
r067s021,7118,0.0,LARGE
r067s034,8361,0.7848101265822784,LARGE
r069s002,16967,0.5344972234429307,LARGE
r069s006,973,0.08293153326904533,MEDIUM
r069s007,3114,0.5295838020247469,LARGE
r069s030,9833,0.6253836554352592,LARGE
r069s031,4387,0.5726829268292682,LARGE
r069s034,1229,0.5188888888888888,MEDIUM
r069s037,6458,0.46222629829187206,LARGE
r069s040,5108,0.6214186369958276,LARGE
r069s043,67749,0.9048284808302104,LARGE
r070s006,19513,0.673623512705209,LARGE
r071s001,1386,0.6062071745264006,MEDIUM
r071s028,5082,0.8645149005046178,LARGE
r071s031,1375,0.8589135982500912,MEDIUM
r071s032,2164,0.7510893246187363,MEDIUM
soop0164,32435,0.5138088615140075,LARGE
soop0168,20999,0.7247690155828294,LARGE
soop0251,153284,0.9225534738538416,LARGE
soop0356,139050,0.7890888530756834,LARGE
soop0371,21381,0.9311400153022188,LARGE
soop0375,242078,0.9051896894445142,LARGE
soop0556,71350,0.9562028321885865,LARGE
soop0769,5020,0.8206222621588228,LARGE
soop0783,70759,0.8862144141157872,LARGE
soop0894,55103,0.9590328467153285,LARGE
soop0910,0,0.0,EMPTY
soop0968,86026,0.8642005958291956,LARGE
soop1012,1193,0.2932662051604783,MEDIUM
soop1129,292619,0.8400326792329045,LARGE
soop1133,70,0.5739130434782609,SMALL
soop1157,194659,0.6734587054134504,LARGE
soop1166,85742,0.9489230627772798,LARGE
soop1266,367260,0.2528283100476371,LARGE
soop1344,971,0.9054726368159204,MEDIUM
soop1412,93915,0.8625327710019378,LARGE
soop1429,81613,0.7373559053264701,LARGE
soop1458,73865,0.7560537011947284,LARGE
soop1488,1645353,0.5277290907474891,LARGE
soop1532,5078,0.9269193391642371,LARGE
soop1590,3246195,0.966540984476113,LARGE
soop1737,98433,0.5180018422352455,LARGE
r001s001,89056,0.8074376742432203,LARGE
r001s004,32931,0.836804722030021,LARGE
r001s005,25816,0.8606616362028908,LARGE
r001s007,3194,0.7048177415243436,LARGE
r001s008,1686,0.15435139573070608,MEDIUM
r001s009,6111,0.6019627651897821,LARGE
r001s010,79902,0.8454641937810405,LARGE
r001s015,4796,0.8034610630407911,LARGE
r001s023,12,0.13114754098360656,SMALL
r001s027,966,0.8282485875706215,MEDIUM
r001s034,1947,0.760348009491168,MEDIUM
r002s002,22301,0.9027655994501979,LARGE
