case_id,n_ref,dice,size_group
r001s003,1279,0.8092991913746631,MEDIUM
r001s011,10749,0.8780162644980669,LARGE
r001s016,4148,0.5418273260687343,LARGE
r001s018,230,0.8366972477064221,SMALL
r001s020,62748,0.8361761907922391,LARGE
r001s021,1787,0.588496981251986,MEDIUM
r001s025,2955,0.8787824529991047,MEDIUM
r001s026,2515,0.7690870884893766,MEDIUM
r001s030,5449,0.7578089633318243,LARGE
r001s031,30888,0.8146518250064717,LARGE
r002s009,38926,0.872987606786187,LARGE
r002s012,24575,0.8576206189244627,LARGE
r003s002,4396,0.4736659736659737,LARGE
r003s005,162015,0.9523382113032246,LARGE
r003s006,795,0.8859857482185273,MEDIUM
r003s007,2794,0.8400592373195113,MEDIUM
r003s011,9412,0.7930562468889994,LARGE
r003s015,6023,0.6973965002134016,LARGE
r004s002,42202,0.8437977109283691,LARGE
r004s005,2993,0.6363841807909605,MEDIUM
r004s007,6660,0.7364052661705781,LARGE
r004s008,1620,0.7859879584017515,MEDIUM
r004s011,45472,0.8750859446924054,LARGE
r004s017,25773,0.8452318183415938,LARGE
r004s022,48594,0.9428473371825413,LARGE
r004s027,78965,0.9083900499909655,LARGE
r004s032,75113,0.9363725295699109,LARGE
r004s033,283751,0.9343548315504461,LARGE
r004s036,6378,0.6321482223335002,LARGE
r005s045,274,0.7809187279151943,SMALL
r005s056,2387,0.7869595536959554,MEDIUM
r005s069,5421,0.812303509219135,LARGE
r005s073,398,0.9051833122629582,SMALL
r005s074,207275,0.9283738683089632,LARGE
r005s077,879,0.6401590457256461,MEDIUM
r005s082,654,0.5049562682215744,MEDIUM
r005s084,1056,0.7171792948237059,MEDIUM
r008s006,129,0.0,SMALL
r009s003,12617,0.6380736392742796,LARGE
r009s005,799,0.7447956823438705,MEDIUM
r009s007,67499,0.6609048609048609,LARGE
r009s008,4321,0.1919465887752973,LARGE
r009s016,65,0.0,SMALL
r009s022,52390,0.7881480990200792,LARGE
r009s031,101,0.0037197768133911966,SMALL
r009s045,626,0.9069958847736626,MEDIUM
r009s046,1391,0.004221190375685944,MEDIUM
r009s049,25360,0.3037990541513984,LARGE
r009s052,14946,0.7228747593672404,LARGE
r009s057,74,0.8702290076335878,SMALL
r009s061,398,0.5567502986857825,SMALL
r009s066,1159,0.16090225563909774,MEDIUM
r009s067,17073,0.6086295306985904,LARGE
r009s071,2517,0.22521957340025095,MEDIUM
r009s078,1509,0.34416991764195926,MEDIUM
r009s084,65,0.017973178487487904,SMALL
r009s085,24058,0.7087100428726926,LARGE
r009s086,1030,0.6984435797665369,MEDIUM
r009s092,1262,0.6688162137263933,MEDIUM
r009s094,2195,0.3039950062421973,MEDIUM
r009s105,6979,0.7821430875427392,LARGE
r009s106,117,0.0,SMALL
r009s119,1531,0.8014822657490736,MEDIUM
r009s122,58,0.0,SMALL
r010s003,5897,0.6468910439247005,LARGE
r010s005,6579,0.3668815071888944,LARGE
r010s007,3727,0.761889035667107,LARGE
r010s023,121,0.7158671586715867,SMALL
r010s028,10309,0.6886050462467753,LARGE
r010s029,117,0.7651006711409396,SMALL
r010s032,301,0.775974025974026,SMALL
r011s001,1392,0.6595174262734584,MEDIUM
r011s016,688,0.667262969588551,MEDIUM
r011s020,1956,0.8206344500444708,MEDIUM
r011s022,404,0.7482352941176471,SMALL
r011s024,2401,0.40832507433102083,MEDIUM
r011s030,3749,0.5423203563819485,LARGE
r011s033,66,0.8181818181818182,SMALL
r014s002,85,0.0,SMALL
r014s008,142,0.13821138211382114,SMALL
r015s007,245276,0.7757571842825868,LARGE
r015s014,5748,0.6833063209076176,LARGE
r015s018,5727,0.8603488920320603,LARGE
r015s019,1388,0.752405949256343,MEDIUM
r017s103,17926,0.8604901061459835,LARGE
r017s117,394,0.8923076923076924,SMALL
r017s121,56725,0.7738399334394022,LARGE
r018s001,19758,0.9076635150572394,LARGE
r018s002,82999,0.8788831028910038,LARGE
r018s008,37026,0.8489539343422455,LARGE
r018s012,41404,0.8393942142015054,LARGE
r019s011,15105,0.781176608736496,LARGE
r023s003,443779,0.8234660107186664,LARGE
r023s004,18404,0.5233867131758364,LARGE
r023s005,788100,0.875476330404542,LARGE
r023s007,13872,0.7800242462164171,LARGE
r023s008,835278,0.9511200690838432,LARGE
r023s014,12774,0.8266463517860166,LARGE
r023s015,20048,0.22014742014742014,LARGE
r024s009,31672,0.8749824172045699,LARGE
r024s011,3882,0.7768918309011584,LARGE
r024s012,375,0.4433887569279493,SMALL
r024s016,50566,0.796430142668594,LARGE
r024s017,9749,0.7498254846157977,LARGE
r024s018,15070,0.8559166580140518,LARGE
r024s020,864,0.6098654708520179,MEDIUM
r024s021,665,0.49068569163694015,MEDIUM
r027s009,23990,0.8942155705396266,LARGE
r027s017,5238,0.9021519220158175,LARGE
r027s028,8113,0.8307712265680742,LARGE
r027s054,153,0.6593886462882096,SMALL
r027s058,2012,0.8750565866908103,MEDIUM
r028s007,3612,0.8529037727850785,LARGE
r028s008,58544,0.8886849697841489,LARGE
r028s013,10065,0.7900265899481278,LARGE
r028s016,42052,0.7102790873739633,LARGE
r028s021,180160,0.9284702810547317,LARGE
r029s005,2833,0.0,MEDIUM
r029s006,111544,0.9074204275534442,LARGE
r029s007,36571,0.803507632348165,LARGE
r029s008,3101,0.7891753519839093,LARGE
r030s003,442,0.7958115183246073,SMALL
r030s014,98211,0.8981693086265206,LARGE
r030s017,83489,0.9313212340770887,LARGE
r031s005,2016,0.34805890227576974,MEDIUM
r031s007,65806,0.5770251937550649,LARGE
r031s010,2208,0.5928003740065451,MEDIUM
r031s015,5168,0.6662508909479686,LARGE
r031s017,600,0.7553719008264462,MEDIUM
r031s020,6734,0.887115165336374,LARGE
r031s022,164929,0.9382528619745719,LARGE
r031s034,105753,0.9273010424314984,LARGE
r031s035,47444,0.8503292640659298,LARGE
r032s005,35592,0.7971453532568614,LARGE
r032s007,2690,0.5697435897435897,MEDIUM
r032s019,30052,0.6795549087242015,LARGE
r032s028,3716,0.16858846918489065,LARGE
r032s039,1355,0.17245817245817247,MEDIUM
r032s057,1313,0.0,MEDIUM
r034s006,3128,0.8125973351790967,LARGE
r034s008,1411,0.7757625721352019,MEDIUM
r034s015,5333,0.426369108794597,LARGE
r034s032,244,0.7289293849658315,SMALL
r034s040,1612,0.7951171230616958,MEDIUM
r035s006,75587,0.9055115113845373,LARGE
r035s011,5705,0.8046892612910498,LARGE
r035s015,389017,0.7626819857737869,LARGE
r038s001,1508,0.5142160844841592,MEDIUM
r038s008,25843,0.70451480315972,LARGE
r038s016,4241,0.8282611610135406,LARGE
r038s019,59714,0.7349307410111166,LARGE
r038s023,1415,0.6663974151857835,MEDIUM
r038s033,5739,0.7887638359222398,LARGE
r038s036,11559,0.7064190289996741,LARGE
r038s037,2362,0.7855574530373262,MEDIUM
r038s046,12795,0.7023087369850611,LARGE
r038s048,40397,0.7563140134679134,LARGE
r038s051,46905,0.5372698041508331,LARGE
r038s053,143656,0.8196498828810607,LARGE
r038s061,136610,0.6005099986578982,LARGE
r038s066,17301,0.8715183700010838,LARGE
r038s075,6064,0.29492490937338167,LARGE
r038s077,80532,0.8113848768054376,LARGE
r038s097,1974,0.22282120395327942,MEDIUM
r039s001,555,0.8015873015873016,MEDIUM
r040s001,1083,0.743289224952741,MEDIUM
r040s002,838,0.8591859185918592,MEDIUM
r040s009,5239,0.6374819102749638,LARGE
r040s011,9216,0.8523406655386351,LARGE
r040s015,112257,0.8598356226256826,LARGE
r040s022,1349,0.8927259368111683,MEDIUM
r040s028,135543,0.8699170742252987,LARGE
r040s030,236766,0.8972854723682216,LARGE
r040s033,43848,0.853842771037587,LARGE
r040s046,310,0.8,SMALL
r040s058,238,0.43270189431704886,SMALL
r040s068,166648,0.8790129823761021,LARGE
r040s069,53868,0.87537629100483,LARGE
r040s076,132079,0.9272654883837123,LARGE
r040s078,4700,0.8502655667307041,LARGE
r041s073,498,0.6147859922178989,SMALL
r042s003,1247,0.7126064045399271,MEDIUM
r042s006,46024,0.7998441039631695,LARGE
r042s008,118441,0.9206803503309007,LARGE
r042s010,11311,0.7533548872846451,LARGE
r042s014,352,0.662020905923345,SMALL
r042s030,4315,0.6883556602384808,LARGE
r042s034,1377,0.3837837837837838,MEDIUM
r046s003,11280,0.8998395002819589,LARGE
r046s005,283799,0.8925305626423506,LARGE
r046s006,1903,0.8158415841584158,MEDIUM
r046s007,2437,0.8998384491114702,MEDIUM
r047s006,712,0.8531157270029673,MEDIUM
r047s009,1031,0.2630457933972311,MEDIUM
r047s017,6014,0.6843962475256046,LARGE
r047s018,55118,0.8652030464092495,LARGE
r047s025,7396,0.6988938245797405,LARGE
r047s028,3275,0.5440817748867465,LARGE
r047s040,709,0.8404858299595142,MEDIUM
r047s048,1314,0.44211195928753183,MEDIUM
r048s003,40622,0.9101731866839772,LARGE
r048s011,746,0.0,MEDIUM
r048s014,764,0.9077134986225895,MEDIUM
r048s020,715,0.7374485596707819,MEDIUM
r048s021,34681,0.7989017135302792,LARGE
r048s028,92374,0.8992750658315761,LARGE
r048s029,348,0.7701149425287356,SMALL
r048s030,141,0.0,SMALL
r048s035,5392,0.6761891359414579,LARGE
r048s039,1265,0.7705451586655818,MEDIUM
r049s004,68,0.43795620437956206,SMALL
r049s007,515,0.725748502994012,MEDIUM
r049s013,8653,0.892298682284041,LARGE
r049s016,363,0.3233256351039261,SMALL
r049s018,51,0.0,SMALL
r049s023,9012,0.8948966149263989,LARGE
r049s025,109,0.0,SMALL
r049s026,220,0.21245421245421245,SMALL
r050s003,32,0.0,SMALL
r050s008,122,0.0,SMALL
r050s014,117,0.5542168674698795,SMALL
r052s002,1335,0.8730812429801572,MEDIUM
r052s007,895,0.7011494252873564,MEDIUM
r052s008,114497,0.898949328368134,LARGE
r052s014,37726,0.9039164838087639,LARGE
r052s026,84629,0.8198595179139926,LARGE
r053s042,15,0.30612244897959184,SMALL
r053s053,2608,0.6388392857142857,MEDIUM
