case_id,n_ref,dice,size_group
r001s003,1279,0.8056018672890963,MEDIUM
r001s011,10749,0.8823399265454224,LARGE
r001s016,4148,0.4797332865414985,LARGE
r001s018,230,0.8680688336520076,SMALL
r001s020,62748,0.8461488084409678,LARGE
r001s021,1787,0.6364955033362344,MEDIUM
r001s025,2955,0.8881521549467807,MEDIUM
r001s026,2515,0.8137188971082717,MEDIUM
r001s030,5449,0.8350421277027713,LARGE
r001s031,30888,0.8188372729761796,LARGE
r002s009,38926,0.875553534241329,LARGE
r002s012,24575,0.8479199110122358,LARGE
r003s002,4396,0.48120041393583995,LARGE
r003s005,162015,0.9530902874069379,LARGE
r003s006,795,0.8747836122331217,MEDIUM
r003s007,2794,0.8507217248309885,MEDIUM
r003s011,9412,0.802191038897095,LARGE
r003s015,6023,0.7435975920824406,LARGE
r004s002,42202,0.8315459631632832,LARGE
r004s005,2993,0.7401342281879195,MEDIUM
r004s007,6660,0.6894137118849067,LARGE
r004s008,1620,0.7512639029322548,MEDIUM
r004s011,45472,0.8761124583734611,LARGE
r004s017,25773,0.845958294074772,LARGE
r004s022,48594,0.9428801936264622,LARGE
r004s027,78965,0.9028727586021216,LARGE
r004s032,75113,0.9347108230683858,LARGE
r004s033,283751,0.933005114427043,LARGE
r004s036,6378,0.6611100215728575,LARGE
r005s045,274,0.7798319327731092,SMALL
r005s056,2387,0.7681380010147133,MEDIUM
r005s069,5421,0.8134406720336017,LARGE
r005s073,398,0.8935611038107752,SMALL
r005s074,207275,0.9293291429730054,LARGE
r005s077,879,0.6447462473195139,MEDIUM
r005s082,654,0.5222414789139226,MEDIUM
r005s084,1056,0.7238666167103784,MEDIUM
r008s006,129,0.0,SMALL
r009s003,12617,0.662646373759612,LARGE
r009s005,799,0.8063354931605472,MEDIUM
r009s007,67499,0.6518890853388274,LARGE
r009s008,4321,0.31230225200074446,LARGE
r009s016,65,0.0,SMALL
r009s022,52390,0.7952987267384917,LARGE
r009s031,101,0.0,SMALL
r009s045,626,0.9119086460032626,MEDIUM
r009s046,1391,0.020032051282051284,MEDIUM
r009s049,25360,0.3974565645710192,LARGE
r009s052,14946,0.7853066824659328,LARGE
r009s057,74,0.4810126582278481,SMALL
r009s061,398,0.4735322425409047,SMALL
r009s066,1159,0.453382084095064,MEDIUM
r009s067,17073,0.6382339439969954,LARGE
r009s071,2517,0.2517785338694711,MEDIUM
r009s078,1509,0.3415672913117547,MEDIUM
r009s084,65,0.01813110181311018,SMALL
r009s085,24058,0.6991100084219152,LARGE
r009s086,1030,0.7242044358727098,MEDIUM
r009s092,1262,0.6585695006747638,MEDIUM
r009s094,2195,0.31782477341389725,MEDIUM
r009s105,6979,0.7842088091353997,LARGE
r009s106,117,0.0,SMALL
r009s119,1531,0.8048780487804879,MEDIUM
r009s122,58,0.0,SMALL
r010s003,5897,0.6757481018311746,LARGE
r010s005,6579,0.23189574096466478,LARGE
r010s007,3727,0.8266708307307933,LARGE
