epoch,learning_rate,train_loss,val_loss,pseudo_dice,epoch_time_s,ema_pseudo_dice
0,0.01,0.0601,-0.0321,0.1082,229.16,0.108199999
1,0.00999,-0.0509,-0.098,0.2601,216.05,0.123400003
2,0.00998,-0.1221,-0.2075,0.4825,216.57,0.159299999
3,0.00997,-0.142,-0.1282,0.394,217.05,0.182799995
4,0.00996,-0.1866,-0.257,0.548,217.81,0.219300002
5,0.00995,-0.1953,-0.232,0.5667,218.53,0.254000008
6,0.00995,-0.2304,-0.3137,0.5535,216.49,0.284000009
7,0.00994,-0.2292,-0.2976,0.6698,216.42,0.322600007
8,0.00993,-0.2582,-0.3295,0.6737,216.5,0.35769999
9,0.00992,-0.2626,-0.3281,0.6095,216.76,0.3829
10,0.00991,-0.253,-0.333,0.6548,217.18,0.410100013
11,0.0099,-0.2989,-0.2912,0.6675,216.78,0.435799986
12,0.00989,-0.2796,-0.3204,0.6769,217.06,0.459899992
13,0.00988,-0.2914,-0.3799,0.6843,216.89,0.482300013
14,0.00987,-0.3206,-0.3546,0.6533,217.25,0.49939999
15,0.00986,-0.3064,-0.3555,0.653,217.17,0.514800012
16,0.00986,-0.3206,-0.3437,0.665,217.58,0.529799998
17,0.00985,-0.3365,-0.3589,0.688,217.5,0.545599997
18,0.00984,-0.3569,-0.2945,0.6095,217.06,0.551999986
19,0.00983,-0.3655,-0.3492,0.6701,216.94,0.563799977
20,0.00982,-0.3409,-0.4124,0.7284,216.81,0.580299973
21,0.00981,-0.3562,-0.4442,0.7385,217.26,0.596099973
22,0.0098,-0.3742,-0.4172,0.6962,218.44,0.606100023
23,0.00979,-0.3794,-0.3579,0.7044,218.14,0.615999997
24,0.00978,-0.3686,-0.3884,0.7053,217.92,0.624899983
25,0.00977,-0.3829,-0.4083,0.6954,217.35,0.631900012
26,0.00977,-0.379,-0.3926,0.6807,217.6,0.636799991
27,0.00976,-0.3751,-0.3429,0.6787,217.16,0.640999973
28,0.00975,-0.3826,-0.4928,0.7553,217.65,0.652400017
29,0.00974,-0.38,-0.4156,0.6962,219.17,0.656799972
30,0.00973,-0.4244,-0.434,0.6803,217.16,0.659200013
31,0.00972,-0.4185,-0.4168,0.7197,217.43,0.665199995
32,0.00971,-0.4087,-0.4625,0.6859,217.42,0.667299986
33,0.0097,-0.3994,-0.4128,0.6898,217.97,0.669499993
34,0.00969,-0.4368,-0.4518,0.7305,217.14,0.675599992
35,0.00968,-0.3938,-0.4349,0.7426,217.92,0.682299972
36,0.00968,-0.4234,-0.4529,0.7385,217.34,0.687900007
37,0.00967,-0.431,-0.4035,0.6607,218.43,
38,0.00966,-0.4037,-0.4712,0.771,217.54,0.693799973
39,0.00965,-0.4065,-0.4489,0.7463,219.48,0.699000001
40,0.00964,-0.4407,-0.4066,0.6174,217.76,
41,0.00963,-0.4295,-0.4792,0.751,217.88,
42,0.00962,-0.442,-0.473,0.7302,218.3,0.700200021
43,0.00961,-0.4532,-0.4809,0.7548,218.1,0.70569998
44,0.0096,-0.4483,-0.4481,0.7402,219.87,0.709100008
45,0.00959,-0.4622,-0.4778,0.7568,217.91,0.71390003
46,0.00959,-0.4417,-0.4349,0.7181,218.38,0.714299977
47,0.00958,-0.4258,-0.4711,0.7638,219.16,0.719299972
48,0.00957,-0.4438,-0.4941,0.752,217.89,0.722500026
49,0.00956,-0.4435,-0.446,0.7231,218.57,0.722599983
50,0.00955,-0.4048,-0.426,0.7211,218.15,
51,0.00954,-0.4595,-0.4818,0.7599,218.66,0.726199985
52,0.00953,-0.4735,-0.4253,0.718,220.23,
53,0.00952,-0.4551,-0.4151,0.7195,218.61,
54,0.00951,-0.4492,-0.4451,0.7325,218.43,
55,0.0095,-0.4541,-0.4338,0.6646,219.02,
56,0.00949,-0.4145,-0.4461,0.6886,218.67,
57,0.00949,-0.4542,-0.504,0.7534,219.17,
58,0.00948,-0.4629,-0.4197,0.6692,218.54,
59,0.00947,-0.4725,-0.4927,0.7715,218.74,
60,0.00946,-0.444,-0.4706,0.7355,218.62,
61,0.00945,-0.4443,-0.4546,0.6824,218.55,
62,0.00944,-0.4531,-0.4585,0.6959,218.73,
63,0.00943,-0.4715,-0.4915,0.7353,220.21,
64,0.00942,-0.4821,-0.4845,0.758,219.6,
65,0.00941,-0.4785,-0.4866,0.7728,220.29,0.726999998
66,0.0094,-0.4804,-0.52,0.784,218.49,0.73269999
67,0.00939,-0.4596,-0.4654,0.7108,219.43,
68,0.00939,-0.4894,-0.5605,0.7789,219.02,0.735300004
69,0.00938,-0.4848,-0.5316,0.7643,219.57,0.738200009
70,0.00937,-0.4807,-0.4983,0.7874,220.9,0.743099988
71,0.00936,-0.4744,-0.528,0.7508,218.7,0.743900001
72,0.00935,-0.4786,-0.5194,0.7748,219.19,0.746999979
73,0.00934,-0.4901,-0.4696,0.7293,218.2,
74,0.00933,-0.4741,-0.4075,0.6998,217.52,
75,0.00932,-0.4681,-0.4983,0.7295,217.68,
76,0.00931,-0.4584,-0.4817,0.7287,217.11,
77,0.0093,-0.4527,-0.499,0.7551,217.49,
78,0.0093,-0.4682,-0.4378,0.703,217.7,
79,0.00929,-0.4801,-0.4814,0.7762,217.31,
80,0.00928,-0.478,-0.4461,0.7153,217.82,
81,0.00927,-0.4536,-0.4876,0.7782,217.19,
82,0.00926,-0.4842,-0.4736,0.758,217.68,
83,0.00925,-0.4853,-0.4746,0.7411,217.76,
84,0.00924,-0.4934,-0.5131,0.7695,218.98,
85,0.00923,-0.4911,-0.4799,0.7775,217.68,0.749100029
86,0.00922,-0.5082,-0.4809,0.7279,218.07,
87,0.00921,-0.4885,-0.5015,0.7724,218.19,0.749499977
88,0.0092,-0.5043,-0.4861,0.7814,218.13,0.752699971
89,0.0092,-0.5002,-0.4901,0.7587,218.15,0.753300011
90,0.00919,-0.464,-0.4894,0.6818,218.6,
91,0.00918,-0.5118,-0.4826,0.7914,219.6,
92,0.00917,-0.5029,-0.4793,0.7472,220.2,
